,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,view,desc,upd_dt,addr,blk_num,school,ttl_flt,occu_permit_dt,facilities,prop_val,ln_amt,int_rt,rpy_prd,inc_reqr
0,Price(HK$)56M,"Rent(HK$)62,001",953,"1,255",76%,3room(s),,ViewsoverlookingVictoriaHarbour,,20/05/2019, 1 AUSTIN ROAD WEST,"4Towers(Tower1,1A,2,2A)", Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,"1,054Units","15September,2005",,"$56,000,000","50%or$28,000,000",P*-3.0or2.375%,30Years(360Phase),"$261,320/Month"
0,Price(HK$)8.08M,"Rent(HK$)17,000",701,,,3room(s),,,,18/05/2019, 68 KUNG UM ROAD,"9Towers(Tower1toTower10),Tower4isomitted", Nearby Kindergarten YUEN LONG; Primary 73; Secondary YUEN LONG,"1,620Units","30June,2014",,"$8,080,000","60%or$4,848,000",P*-3.0or2.375%,30Years(360Phase),"$45,246/Month"
0,Price(HK$)16.8M,"Rent(HK$)30,000",656,656,100%,2room(s),South,,,18/05/2019, 3 JULIA AVENUE,1Block, Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,67Units,"04September,2015","Platform,SwimmingPool","$16,800,000","50%or$8,400,000",P*-3.0or2.375%,30Years(360Phase),"$78,396/Month"
0,Price(HK$)40M,"Rent(HK$)65,000","1,567","2,035",77%,4room(s),West,,1CoveredCarpark,19/05/2019, 80 SHEUNG SHING STREET,Houses, Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,439Units,"23November,2009",,"$40,000,000","50%or$20,000,000",P*-3.0or2.375%,30Years(360Phase),"$186,657/Month"
0,Price(HK$)98M,"Rent(HK$)168,000","1,236",,,3room(s),,MountainView,"1022FeetTerrace,CoveredCarpark",19/05/2019, 31 CONDUIT ROAD,1Block, Nearby Kindergarten CENTRAL & WESTERN; Primary 11; Secondary CENTRAL & WESTERN,111units,"12September,2016",,"$98,000,000","50%or$49,000,000",P*-3.0or2.375%,30Years(360Phase),"$457,310/Month"
0,Price(HK$)12M,"Rent(HK$)30,000",461,614,75%,1room(s),,Bright&OpenView,,14/05/2019, 1 WAN CHAI ROAD,1Block, Nearby Kindergarten WAN CHAI; Primary 12; Secondary WAN CHAI,237Units,"10September,2012",,"$12,000,000","50%or$6,000,000",P*-3.0or2.375%,30Years(360Phase),"$55,997/Month"
0,Price(HK$)20.5M,"Rent(HK$)43,500",668,,,2room(s),,,,19/05/2019, 180 CONNAUGHT ROAD WEST,1Block, Nearby Kindergarten CENTRAL & WESTERN; Primary 11; Secondary CENTRAL & WESTERN,125Units,"22July,2015",ClubHouse,"$20,500,000","50%or$10,250,000",P*-3.0or2.375%,30Years(360Phase),"$95,662/Month"
0,Price(HK$)5.7M,"Rent(HK$)13,000",449,576,78%,2room(s),South,GardenView,,18/05/2019, 1 TIN WU ROAD,14Blocks, Nearby Kindergarten YUEN LONG; Primary 72; Secondary YUEN LONG,"3,472Units",,,"$5,700,000","60%or$3,420,000",P*-3.0or2.375%,30Years(360Phase),"$31,918/Month"
0,Price(HK$)15M,"Rent(HK$)30,000",747,933,80%,3room(s),Northeast,SeaView,,18/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$15,000,000","50%or$7,500,000",P*-3.0or2.375%,30Years(360Phase),"$69,996/Month"
0,Price(HK$)5.38M,,220,330,67%,,,,,19/05/2019, 25 Des Voeux Road West,1,,33,25/10/1977,,"$5,380,000","60%or$3,228,000",P*-3.0or2.375%,30Years(360Phase),"$30,126/Month"
0,Price(HK$)16M,"Rent(HK$)27,000",400,530,75%,1room(s),East,GardenView,,19/05/2019, 1 AUSTIN ROAD WEST,"4Towers(Tower1,1A,2,2A)", Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,"1,054Units","15September,2005",,"$16,000,000","50%or$8,000,000",P*-3.0or2.375%,30Years(360Phase),"$74,663/Month"
0,Price(HK$)12.9M,"Rent(HK$)30,000",632,810,78%,3room(s),,GardenView,,18/05/2019, 18A SOUTH HORIZON DRIVE,34, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"9,812Units","28March,1995(Block25-28,32,33,33A),19December,1994(Block29-31),02February,1994(Block19,20,22,23,23A),20December,1993(Block17,18,21),27July,1993(Block13A,15,16),30October,1992(Block7-13),31March,1992(Block6),22November,1991(Block1-5)","ClubHouse,IndoorHeatedSwimmingPool,Jacuzzi,Gymnasium,SquashCourt,BasketballCourt,BadmintonCourt,DancingRoom,GameRoom,OutdoorSwimmingPool,TennisCourt,ChildrenPlayground","$12,900,000","50%or$6,450,000",P*-3.0or2.375%,30Years(360Phase),"$60,197/Month"
0,Price(HK$)20M,"Rent(HK$)40,000",924,"1,286",72%,3room(s),North,,,19/05/2019,,1,,15,21/01/1993,Carpark,"$20,000,000","50%or$10,000,000",P*-3.0or2.375%,30Years(360Phase),"$93,329/Month"
0,Price(HK$)13.8M,"Rent(HK$)27,000",648,763,85%,3room(s),Southeast,"GardenView,OverlookingShingMunRiver",,17/05/2019, 2-8 SHA TIN CENTRE STREET,5, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,792Units,"17July,1991","ChildrenPlayground,Garden","$13,800,000","50%or$6,900,000",P*-3.0or2.375%,30Years(360Phase),"$64,397/Month"
0,Price(HK$)7.6M,"Rent(HK$)17,000",420,584,72%,2room(s),Northeast,,,17/05/2019, 1 WAN HANG ROAD,6Blocks, Nearby Kindergarten SAIKUNG; Primary 95; Secondary SAIKUNG,"2,048Units","23December,1996",,"$7,600,000","60%or$4,560,000",P*-3.0or2.375%,30Years(360Phase),"$42,558/Month"
0,Price(HK$)28M,"Rent(HK$)38,000",755,998,76%,3room(s),Southwest,"Bright&OpenView,SeaView",,19/05/2019, 1 AUSTIN ROAD WEST,, Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,"2,126Units","16October,2003(Block1,2),30October,2002(Block3,5,6)",,"$28,000,000","50%or$14,000,000",P*-3.0or2.375%,30Years(360Phase),"$130,660/Month"
0,Price(HK$)5.4M,"Rent(HK$)11,800",401,,,1room(s),,,,19/05/2019, 138 TONG YAN SAN TSUEN ROAD,6Blocks, Nearby Kindergarten YUEN LONG; Primary 72; Secondary YUEN LONG,141units,"30December,2015",,"$5,400,000","60%or$3,240,000",P*-3.0or2.375%,30Years(360Phase),"$30,238/Month"
0,Price(HK$)13M,"Rent(HK$)26,800",482,656,73%,2room(s),,Bright&OpenView,,19/05/2019," 38 NEW PRAYA KENNEDY TOWN, 8 DAVIS STREET",3Towers, Nearby Kindergarten CENTRAL & WESTERN; Primary 11; Secondary CENTRAL & WESTERN,"1,182Units","25May,2005(Block1,2),24November,2004(Block3)",,"$13,000,000","50%or$6,500,000",P*-3.0or2.375%,30Years(360Phase),"$60,664/Month"
0,Price(HK$)34M,"Rent(HK$)45,000",870,,,3room(s),Northeast,Bright&OpenView,26FeetBalcony,17/05/2019, 9 AUSTIN ROAD WEST,"4Towers,Tower1toTower5(Tower4isomitted)", Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,691Units,"30December,2014",,"$34,000,000","50%or$17,000,000",P*-3.0or2.375%,30Years(360Phase),"$158,659/Month"
0,Price(HK$)7M,,460,656,70%,2room(s),Southwest,"Bright&OpenView,BuildingView",,14/05/2019, 33 WO YI HOP ROAD,2, Nearby Kindergarten KWAI TSING; Primary 64; Secondary KWAI TSING,924Units,"10July,2007",,"$7,000,000","60%or$4,200,000",P*-3.0or2.375%,30Years(360Phase),"$39,198/Month"
0,Price(HK$)9.8M,"Rent(HK$)24,000",556,717,78%,2room(s),,,Terrace,19/05/2019, 28 LOK KING STREET,10Towers, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,"1,375Units","12December,2008","OutdoorSwimmingPool,ChildrenPool,IndoorSwimmingPool,Sauna,ChangingRooms,Spa,IndoorMulti-purposeCourt,Gymnasium,BowlingAlley,SnookerRoom,TableTennisRoom,BanquetRoom,MusicRoom,MiniMulti-mediaRoom,IndoorChildrenPlayRoom,LandscapeGarden","$9,800,000","51%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)7.2M,"Rent(HK$)19,000",502,688,73%,3room(s),Southwest,MountainView,,19/05/2019, 9 YUK NGA LANE,4, Nearby Kindergarten SAIKUNG; Primary 95; Secondary SAIKUNG,"1,280Units","10June,1994","SwimmingPool,LeisurePool,TennisCourt,ChildrenPlayground,JoggingTracks","$7,200,000","60%or$4,320,000",P*-3.0or2.375%,30Years(360Phase),"$40,318/Month"
0,Price(HK$)8.27M,"Rent(HK$)18,500",493,610,81%,2room(s),East,Bright&OpenView,,18/05/2019, 398 CASTLE PEAK ROAD TSUEN WAN,, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"3,360Units","27March,1998(Block9-12),23December,1997(Block5-8),11April,1997(Block1-4)",,"$8,280,000","60%or$4,968,000",P*-3.0or2.375%,30Years(360Phase),"$46,366/Month"
0,Price(HK$)9.5M(Premium Paid),"Rent(HK$)19,500",526,698,75%,2room(s),Northeast,"Bright&OpenView,GardenView",,14/05/2019, 52 CAPE ROAD,4Blocks, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,984Units,"8August,2000",,"$9,500,000","52%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)21M,"Rent(HK$)52,000","1,227","1,375",89%,4room(s),East,,1Carpark,19/05/2019, 117-121 ARGYLE STREET,1Block, Nearby Kindergarten KOWLOON CITY; Primary 34; Secondary KOWLOON CITY,87Units,"2,February1973",,"$21,000,000","50%or$10,500,000",P*-3.0or2.375%,30Years(360Phase),"$97,995/Month"
0,Price(HK$)21.8M,"Rent(HK$)40,000","1,318","1,663",79%,3room(s),North,SeaViewOverlookingAirport,227FeetTerrace,16/05/2019, 12 TUNG CHUNG WATERFRONT ROAD,5, Nearby Kindergarten ISLAND; Primary 98; Secondary ISLAND,"2,022Units","12September,2002",,"$21,800,000","50%or$10,900,000",P*-3.0or2.375%,30Years(360Phase),"$101,728/Month"
0,Price(HK$)17M,"Rent(HK$)33,000",827,,,2room(s),Northeast,,,19/05/2019, 8 WU KAI SHA ROAD,"5Blocks(Block16,17,22,23,25)", Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"1,092Units","20October,2015",,"$17,000,000","50%or$8,500,000",P*-3.0or2.375%,30Years(360Phase),"$79,329/Month"
0,Price(HK$)9M,"Rent(HK$)20,000",552,723,76%,,,,,19/05/2019, 599 SAI SHA ROAD,"7Towers(Tower1,2,3,5,6,7,8)", Nearby Kindergarten SHATIN; Primary 89; Secondary SHATIN,"2,169Units","17July,2009","Clubhouse/ancillaryrecreationalfacilitiesincludeoutdoorswimmingpools,kid'spool,jacuzzi,indoorswimmingpool,saunaandsteam,changingrooms,spaandspavillas,multi-purposeballcourt,gymnasium,kid'sgymnasium,aerobicroom,bowlingalley,billiardrooms,sittingareasandlounges,readingrooms,functionrooms,studyroom,musicroom,computerroom,gameroooms,videogamesroom,children'splayareas,outdoorchildrenplayareas,BBQhuts,tenniscourt,karaokerooms,fitnessroom,tabletennisroomandlandscapedgardens","$9,000,000","55%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)6.88M,"Rent(HK$)17,000",439,518,85%,1room(s),,,,18/05/2019, 1-20 CHI FU ROAD,20, Nearby Kindergarten SOUTH; Primary 18; Secondary SOUTH,"4,329Units","26June,1981(BlockH-15),11June,1981(BlockH-16ToH-20),23March,1981(BlockH-14),30September,1980(BlockH-13),18April,1980(BlockH-10,H-11),03April,1980(BlockH-12),06June,1979(BlockH-9),25January,1979(BlockH-8),29December,1978(BlockH-7),28December,1978(BlockH-2),06December,1978(BlockH-3,H-4,H-5),22September,1978(BlockH-1,H-6),31August,1978(YarCheeVillas)","ShoppingMall,BowlingAlley,Bank,Restaurant,Supermarket,HeatedSwimmingPool,Garden","$6,880,000","60%or$4,128,000",P*-3.0or2.375%,30Years(360Phase),"$38,526/Month"
0,Price(HK$)7.8M,,756,901,84%,3room(s),,,,19/05/2019, 100 FUNG CHEUNG ROAD,, Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,"1,100Units","05December,1997",,"$7,800,000","60%or$4,680,000",P*-3.0or2.375%,30Years(360Phase),"$43,678/Month"
0,Price(HK$)45M,"Rent(HK$)88,000","2,073","2,780",75%,4room(s),Northwest,Bright&OpenView,1CoveredCarpark,19/05/2019, 18 HIN TAI STREET,"2Blocks,4Houses(House1,2,3&5)", Nearby Kindergarten SHATIN; Primary 88; Secondary SHATIN,157Units,"29June,2009","L4isdesignedasclubhouseforresidents'use.Clubhousefacilitiesincludeclubhouselobby,multi-functionroom,gymnasium,billiardsroom,exerciseroom,gamerooms,kids'playroom,spalounge,male&femalechangingrooms,steamroom,saunaroom,outdoorswimmingpool,outdoorjacuzzi,kids'pool,podiumgardenandoutdoorkids'playarea.","$45,000,000","50%or$22,500,000",P*-3.0or2.375%,30Years(360Phase),"$209,989/Month"
0,Price(HK$)17.5M,"Rent(HK$)36,000",764,979,78%,3room(s),Southeast,OverlookingShingMunRiver,,19/05/2019, 28 LOK KING STREET,10Towers, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,"1,375Units","12December,2008","OutdoorSwimmingPool,ChildrenPool,IndoorSwimmingPool,Sauna,ChangingRooms,Spa,IndoorMulti-purposeCourt,Gymnasium,BowlingAlley,SnookerRoom,TableTennisRoom,BanquetRoom,MusicRoom,MiniMulti-mediaRoom,IndoorChildrenPlayRoom,LandscapeGarden","$17,500,000","50%or$8,750,000",P*-3.0or2.375%,30Years(360Phase),"$81,662/Month"
0,Price(HK$)22.8M,"Rent(HK$)36,000","1,267","1,705",74%,3room(s),,,RoofTop,17/05/2019, 18 SHAN TONG ROAD,"22Blocks(Apartment),13Blocks(House)", Nearby Kindergarten TAI PO; Primary 84; Secondary TAI PO,77Units,"30December,2002",,"$22,800,000","50%or$11,400,000",P*-3.0or2.375%,30Years(360Phase),"$106,395/Month"
0,Price(HK$)8.6M,"Rent(HK$)19,000",475,583,81%,2room(s),Southwest,"Bright&OpenView,MountainView,GardenView",,16/05/2019, 100 SHING TAI ROAD,48Blocks(Block14&44areomitted), Nearby Kindergarten EAST; Primary 16; Secondary EAST,"6,504Units","13March,1990(HengFaVilla),10November,1989(Block49,50),06June,1989(Block43-48),07March,1989(Block40-42),07January,1989(Block22,23),30September,1988(Block36-39),16June,1988(Block24-29),19March,1988(Block30-35),02December,1987(Block19-21),16January,1987(Block9-13,15-18),08September,1986(Block1-8)","SwimmingPool,TennisCourt,SquashCourt,Gymnasium,Sauna,ChildrenPlayground","$8,600,000","58%or$5,000,000",P*-3.0or2.375%,30Years(360Phase),"$46,664/Month"
0,Price(HK$)6.5M,"Rent(HK$)16,000",375,504,74%,,,"Bright&OpenView,MountainView",,19/05/2019," 328,342 CASTLE PEAK ROAD TSUEN WAN",2Blocks, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,496Units,"1May,1986",,"$6,500,000","60%or$3,900,000",P*-3.0or2.375%,30Years(360Phase),"$36,398/Month"
0,Price(HK$)31.5M,"Rent(HK$)57,000","2,130","3,228",66%,4room(s),,,,14/05/2019, 1 YUNG YI ROAD,68Blocks, Nearby Kindergarten TAI PO; Primary 84; Secondary TAI PO,68Units,"13July,1998",,"$31,500,000","50%or$15,750,000",P*-3.0or2.375%,30Years(360Phase),"$146,992/Month"
0,Price(HK$)16.8M,,934,"1,168",80%,3room(s),East,"Bright&OpenView,MountainView","625FeetGarden,1CoveredCarpark",18/05/2019, 1E KAU TO SHAN ROAD,7Blocks, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,56Units,"30November,1995",,"$16,800,000","50%or$8,400,000",P*-3.0or2.375%,30Years(360Phase),"$78,396/Month"
0,Price(HK$)13.5M,"Rent(HK$)30,000","1,026","1,370",75%,2room(s),Northeast,GardenView,,19/05/2019, 1 HUNG LAM DRIVE,, Nearby Kindergarten TAI PO; Primary 84; Secondary TAI PO,286Units,"25January,2002",,"$13,500,000","50%or$6,750,000",P*-3.0or2.375%,30Years(360Phase),"$62,997/Month"
0,Price(HK$)14M,"Rent(HK$)38,000",591,814,73%,2room(s),,,,13/05/2019, 60 JOHNSTON ROAD,1, Nearby Kindergarten WAN CHAI; Primary 12; Secondary WAN CHAI,381Units,"31August,2007","Clubhouse(5Storeys)includingOutdoorHeatedSwimmingPool,GameRoom,Gymnasium,SaunaRoom,ChangingRoom,Gardent,TableTennisRoom","$14,000,000","50%or$7,000,000",P*-3.0or2.375%,30Years(360Phase),"$65,330/Month"
0,Price(HK$)7.2M,"Rent(HK$)16,800",544,704,77%,2room(s),Southeast,"GardenView,FountainView",,19/05/2019, 11 TSUN WEN ROAD,2Blocks, Nearby Kindergarten TUEN MUN; Primary 70; Secondary TUEN MUN,"2,687Units","17January,1994",,"$7,200,000","60%or$4,320,000",P*-3.0or2.375%,30Years(360Phase),"$40,318/Month"
0,Price(HK$)4.95M,,324,413,78%,,Northeast,"Bright&OpenView,MountainView,GardenView",,15/05/2019, 86-105 TSUEN KING CIRCUIT,19, Nearby Kindergarten TSUEN WAN; Primary 62; Secondary TSUEN WAN,"4,516Units","17August,1982(Block11-14),27July,1981(Block15-17),22December,1980(Block18,19),02February,1980(Block1,2,5-10),23October,1979(Block3,4)","ShoppingMall,CarPark,School","$4,950,000","60%or$2,970,000",P*-3.0or2.375%,30Years(360Phase),"$27,719/Month"
0,Price(HK$)12.5M,"Rent(HK$)26,000",661,738,90%,2room(s),North,,,20/05/2019, 36 BROADCAST DRIVE,1Block, Nearby Kindergarten KOWLOON CITY; Primary 41; Secondary KOWLOON CITY,72Units,"4,May1977",,"$12,500,000","50%or$6,250,000",P*-3.0or2.375%,30Years(360Phase),"$58,330/Month"
0,Price(HK$)23M,"Rent(HK$)40,000",604,842,72%,1room(s),Southwest,,,19/05/2019, 18 HANOI ROAD,, Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,345Units,"22January,2009",,"$23,000,000","50%or$11,500,000",P*-3.0or2.375%,30Years(360Phase),"$107,328/Month"
0,Price(HK$)10.5M,"Rent(HK$)22,000",654,,,2room(s),Northeast,"Bright&OpenView,MountainView,GardenView",,19/05/2019, 33 LAI PING ROAD,10, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,973Units,"15June,2015",,"$10,500,000","50%or$5,250,000",P*-3.0or2.375%,30Years(360Phase),"$48,998/Month"
0,Price(HK$)6.25M,,414,566,73%,,Southeast,,,17/05/2019, 11 SHAP PAT HEUNG ROAD,Therearetotally12towers(Tower4isomitted), Nearby Kindergarten YUEN LONG; Primary 74; Secondary YUEN LONG,"2,580Units","04October,2013",Clubhouse,"$6,250,000","60%or$3,750,000",P*-3.0or2.375%,30Years(360Phase),"$34,998/Month"
0,Price(HK$)36.79M,,"1,281","1,600",80%,2room(s),,,,17/05/2019,,4,,117,10/03/1965,,"$36,800,000","50%or$18,400,000",P*-3.0or2.375%,30Years(360Phase),"$171,725/Month"
0,Price(HK$)48M,"Rent(HK$)68,000","1,010","1,331",76%,3room(s),Northwest,SeaView,43FeetBalcony,18/05/2019, 1 AUSTIN ROAD WEST,"4Towers(Tower1,1A,2,2A)", Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,"1,054Units","15September,2005",,"$48,000,000","50%or$24,000,000",P*-3.0or2.375%,30Years(360Phase),"$223,989/Month"
0,Price(HK$)8.19M,"Rent(HK$)18,000",592,807,73%,2room(s),Southeast,GardenView,,16/05/2019, 1 HING TUNG STREET,8Blocks(Block1-9;Block4isomitted), Nearby Kindergarten ISLAND; Primary 98; Secondary ISLAND,"2,158Units","10August,1999(Block5-9),09December,1998(Block1-3)",,"$8,200,000","60%or$4,920,000",P*-3.0or2.375%,30Years(360Phase),"$45,918/Month"
0,Price(HK$)14M,"Rent(HK$)26,000",563,722,78%,2room(s),,,,19/05/2019,,1,,18,14/03/1996,,"$14,000,000","50%or$7,000,000",P*-3.0or2.375%,30Years(360Phase),"$65,330/Month"
0,Price(HK$)26M,"Rent(HK$)41,500",890,,,3room(s),East,,,19/05/2019, 8 WUI CHEUNG ROAD,"5towers,(Tower1-5,Tower4isomitted)", Nearby Kindergarten YAU TSIM MONG; Primary 31; Secondary YAU TSIM MONG,576Units,"30September,2014",,"$26,000,000","50%or$13,000,000",P*-3.0or2.375%,30Years(360Phase),"$121,327/Month"
0,Price(HK$)29.5M,,862,"1,196",72%,3room(s),North,"Bright&OpenView,PanoramicSeaView,MountainView",,09/05/2019, 98 JAVA ROAD,1Blocks, Nearby Kindergarten EAST; Primary 14; Secondary EAST,75Units,"03October,2011",5/FisClubHouse,"$29,500,000","50%or$14,750,000",P*-3.0or2.375%,30Years(360Phase),"$137,660/Month"
0,Price(HK$)15.5M,,635,,,3room(s),East,"SeaView,MountainView",424FeetGarden,17/05/2019, 19 TONG YIN STREET,4Blocks, Nearby Kindergarten SAIKUNG; Primary 95; Secondary SAIKUNG,960units,"30June,2016",,"$15,500,000","50%or$7,750,000",P*-3.0or2.375%,30Years(360Phase),"$72,330/Month"
0,Price(HK$)6.75M,"Rent(HK$)16,000",364,511,71%,2room(s),Southwest,,261FeetTerrace,18/05/2019, 1 WAN HANG ROAD,6Blocks, Nearby Kindergarten SAIKUNG; Primary 95; Secondary SAIKUNG,"2,048Units","23December,1996",,"$6,750,000","60%or$4,050,000",P*-3.0or2.375%,30Years(360Phase),"$37,798/Month"
0,Price(HK$)23M,"Rent(HK$)30,000",988,,,,,MountainView,,17/05/2019, 33 LAI PING ROAD,10, Nearby Kindergarten SHATIN; Primary 91; Secondary SHATIN,973Units,"15June,2015",,"$23,000,000","50%or$11,500,000",P*-3.0or2.375%,30Years(360Phase),"$107,328/Month"
